240,178
240,151
241,150
573,152
571,177
518,179
519,411
492,411
491,369
480,354
465,340
456,335
444,332
422,359
405,370
391,377
369,380
341,374
320,364
295,346
285,331
274,316
249,282
269,267
317,331
317,331
346,349
379,352
395,346
412,330
426,302
425,271
416,243
393,233
371,245
379,256
382,275
372,284
352,291
341,281
335,265
338,248
342,237
348,228
354,221
363,216
373,211
382,208
392,208
403,207
416,209
427,218
433,223
439,231
443,237
447,253
450,260
451,267
452,276
451,286
452,298
453,311
465,315
476,321
490,336
491,178
242,175
242,176
240,176
